"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 17:35:22 GMT 2023","Mon May 08 17:35:22 GMT 2023","794","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"failed","Mon May 08 17:35:12 GMT 2023","Mon May 08 17:35:21 GMT 2023","9111","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Mon May 08 17:34:42 GMT 2023","Mon May 08 17:34:44 GMT 2023","1820","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest2","TC05 - New user registration with login","Perform Registration for new user and login with"
"passed","Mon May 08 17:35:31 GMT 2023","Mon May 08 17:35:32 GMT 2023","864","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithWrongPassword","TC12 - Login with wrong password","Perform login with wrong password"
"passed","Mon May 08 17:34:57 GMT 2023","Mon May 08 17:35:00 GMT 2023","3095","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllProjectName","TC19 - Collect all projects","Going over multiple page list and collect project names"
"failed","Mon May 08 17:34:45 GMT 2023","Mon May 08 17:34:47 GMT 2023","1045","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithEmptyInputFields","TC07 - New user registration without empty input fields","Perform Registration with empty input fields"
"passed","Mon May 08 17:34:56 GMT 2023","Mon May 08 17:34:56 GMT 2023","805","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listTeamMembers","TC21 - List team members","List team members"
"passed","Mon May 08 17:35:27 GMT 2023","Mon May 08 17:35:28 GMT 2023","605","","com.codecool.vizsgaremek.functions.BasicTest","","com.codecool.vizsgaremek.functions.BasicTest","arriveCorrectUrl","TC01 - Arrive correct URL","Arrive at the correct URL"
"passed","Mon May 08 17:35:29 GMT 2023","Mon May 08 17:35:30 GMT 2023","1208","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithExistedUser","TC09 - Existed user login","Perform Login with already existed user"
"passed","Mon May 08 17:34:54 GMT 2023","Mon May 08 17:34:56 GMT 2023","1106","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","membersBusinessCardTest","TC22 - Team members' business card validation","Team members business card checking"
"passed","Mon May 08 17:35:00 GMT 2023","Mon May 08 17:35:03 GMT 2023","2966","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllBlogTitle","TC20 - Collect all blog titles","Going over multiple page list and collect blog titles"
"passed","Mon May 08 17:35:21 GMT 2023","Mon May 08 17:35:22 GMT 2023","661","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","displayTermsAndConditionsPopUp","TC02 - Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Mon May 08 17:34:47 GMT 2023","Mon May 08 17:34:48 GMT 2023","1055","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest","TC04 - New user registration","Perform Registration for new user"
"passed","Mon May 08 17:34:48 GMT 2023","Mon May 08 17:34:51 GMT 2023","2931","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","multipleRegistrationFromJsonFile","TC08 - Multiple registration from Json file","Perform multiple registration from Json file"
"passed","Mon May 08 17:34:37 GMT 2023","Mon May 08 17:34:42 GMT 2023","4790","","com.codecool.vizsgaremek.functions.DataModificationTest","","com.codecool.vizsgaremek.functions.DataModificationTest","editAccountTest","TC15 - Edit user account","Edit user account"
"failed","Mon May 08 17:35:24 GMT 2023","Mon May 08 17:35:27 GMT 2023","2601","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessage","TC17 - Message sending test with valid inputs","Message sending throughout the contact form"
"passed","Mon May 08 17:35:28 GMT 2023","Mon May 08 17:35:29 GMT 2023","1170","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLogout","TC13 - Perform logout","Perform successful logout"
"passed","Mon May 08 17:35:30 GMT 2023","Mon May 08 17:35:31 GMT 2023","889","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"passed","Mon May 08 17:35:32 GMT 2023","Mon May 08 17:35:33 GMT 2023","847","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithMisspelledUsername","TC11 - Login with misspelled username","Perform login with misspelled username"
"passed","Mon May 08 17:35:05 GMT 2023","Mon May 08 17:35:07 GMT 2023","2089","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveKioTapeBrandPortfolioToAFile","TC26 - Save Kio Tape Brand content","Save Kio Tape Brand content to a file"
"failed","Mon May 08 17:34:44 GMT 2023","Mon May 08 17:34:45 GMT 2023","1185","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
"failed","Mon May 08 17:35:22 GMT 2023","Mon May 08 17:35:24 GMT 2023","1954","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessageWithInvalidEmail","TC18 - Message sending test with invalid email","Message sending throughout the contact form with invalid email"
"passed","Mon May 08 17:35:09 GMT 2023","Mon May 08 17:35:12 GMT 2023","2895","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","editAccountMultipleTimesTest","TC27 - Multiple edit user account","Edit user account multiple times"
"passed","Mon May 08 17:34:52 GMT 2023","Mon May 08 17:34:54 GMT 2023","2452","","com.codecool.vizsgaremek.functions.DeleteDataTest","","com.codecool.vizsgaremek.functions.DeleteDataTest","performDeleteAccount","TC16 - Delete user account","Delete user account"
"passed","Mon May 08 17:34:51 GMT 2023","Mon May 08 17:34:52 GMT 2023","1388","","com.codecool.vizsgaremek.functions.MenuDisplayTest","","com.codecool.vizsgaremek.functions.MenuDisplayTest","testMenu","TC14 - Menu display validation","The correct menu is displayed"
"passed","Mon May 08 17:35:03 GMT 2023","Mon May 08 17:35:05 GMT 2023","1246","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"passed","Mon May 08 17:34:56 GMT 2023","Mon May 08 17:34:57 GMT 2023","805","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
"passed","Mon May 08 17:35:07 GMT 2023","Mon May 08 17:35:09 GMT 2023","2158","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveDesignInspirationBlogToAFile","TC25 - Save Design Inspiration content","Save Design Inspiration content to a file"
